Vehicle Dependability Study (VDS) by Make (2015),,,,
Brand,Overall Dependability,Powertrain  Dependability,Body & Interior Dependability,Feature & Accessory Dependability
Scion,4,5,3,5
Ram,3,3,3,5
Lincoln,4,4,5,3
Chrysler,3,3,3,2
Acura,4,4,4,3
Buick,4,4,4,5
Volvo,3,3,3,2
Mercedes-Benz,4,4,5,3
Lexus,5,5,5,4
Land Rover,2,2,2,2
Infiniti,3,3,3,3
Cadillac,4,4,5,3
BMW,3,3,5,3
Audi,3,3,5,3
Volkswagen,3,3,3,2
Subaru,3,4,3,3
Kia,3,3,3,3
Hyundai,2,3,3,2
Mazda,3,4,3,4
Ford,2,2,3,3
Fiat,2,3,2,2
Chevrolet,4,3,3,5
Toyota,4,4,3,4
Nissan,4,4,3,4
Mitsubishi,3,4,3,4
Honda,4,4,3,5
MINI,2,2,2,3
Jeep,2,2,3,3
Dodge,2,2,3,2
GMC,4,4,3,5
Porshe,4,3,5,3
